中文名稱			原始程式編號	額外指派的名稱	接線Pin腳
左肩膀X(側向伸展)	servo[00]		LeftShoulderX	44
左肩膀Y(前後伸展)	servo[01]		LeftShoulderY	45
左手肘				servo[02]		LeftElbow		46
右肩膀X(側向伸展)	servo[03]		RightShoulderX	2
右肩膀Y(前後伸展)	servo[04]		RightShoulderY	3
右手軸				servo[05]		RightElbow		4
左骨盆X(側向伸展)	servo[06]		LeftPelvisX		5
左大腿Y(前後伸展)	servo[07]		LeftThighY		6
左膝蓋				servo[08]		LeftKnee		7
左腳踝				servo[09]		LeftAnkle		8
右骨盆X(側向伸展)	servo[10]		RightPelvisX	9
右大腿Y(前後伸展)	servo[11]		RightThighY		10
右膝蓋				servo[12]		RightKnee		11
右腳踝				servo[13]		RightAnkle		12
腰部				servo[14]		Waist			13
